mileage;make;model;fuel;gear;offerType;price;hp;year;name
22700;Volkswagen;up!;Gasoline;Manual;Used;8990;60;2014;Volkswagen up!
53000;Skoda;Rapid/Spaceback;Gasoline;Manual;Used;8999;105;2014;Skoda Rapid/Spaceback
149786;BMW;116;Gasoline;Manual;Used;8999;136;2014;BMW 116
197500;Volkswagen;Passat Variant;Diesel;Manual;Used;8999;140;2014;Volkswagen Passat Variant
57000;Kia;Ceed / cee'd;Gasoline;Manual;Used;9000;99;2014;Kia Ceed / cee'd
53286;Skoda;Fabia;Gasoline;Manual;Used;9100;86;2014;Skoda Fabia
84721;Toyota;Yaris;Gasoline;Automatic;Used;9200;101;2014;Toyota Yaris
111000;Audi;A1;Gasoline;Manual;Used;9200;122;2014;Audi A1
87500;SEAT;Ibiza;Diesel;Manual;Used;9290;105;2014;SEAT Ibiza
55000;Skoda;Rapid/Spaceback;Gasoline;Manual;Used;9300;105;2014;Skoda Rapid/Spaceback
77000;Volkswagen;Polo;Gasoline;Manual;Used;9300;90;2014;Volkswagen Polo
166000;Volkswagen;Golf Variant;Diesel;Automatic;Used;9400;105;2014;Volkswagen Golf Variant
55000;Ford;C-Max;Gasoline;Manual;Used;9450;101;2014;Ford C-Max
140000;Volkswagen;Golf Variant;Diesel;Automatic;Used;9990;110;2015;Volkswagen Golf Variant
160000;Ford;Focus;Diesel;Automatic;Used;9999;120;2015;Ford Focus
240000;Audi;A4;Diesel;Manual;Used;9999;190;2015;Audi A4
28238;Opel;Meriva;Gasoline;Manual;Used;10190;140;2015;Opel Meriva
114327;Opel;Insignia;Diesel;Automatic;Used;10200;131;2015;Opel Insignia
352000;Peugeot;Boxer;Diesel;Manual;Used;10298;150;2015;Peugeot Boxer
80575;Volkswagen;Polo;Diesel;Manual;Used;10299;105;2015;Volkswagen Polo
79987;Ford;B-Max;Gasoline;Automatic;Used;10444;105;2015;Ford B-Max
166554;Skoda;Superb;Diesel;Manual;Used;10490;170;2015;Skoda Superb
47295;Ford;C-Max;Gasoline;Manual;Used;10490;101;2015;Ford C-Max
90000;Opel;Insignia;Diesel;Manual;Used;10499;170;2015;Opel Insignia
76800;Citroen;C4 Cactus;Gasoline;Manual;Used;10580;110;2015;Citroen C4 Cactus
60000;Peugeot;208;Gasoline;Manual;Used;10750;110;2015;Peugeot 208
9500;Hyundai;iX20;Gasoline;Manual;Used;10750;125;2015;Hyundai iX20
248000;Infiniti;Q70;Diesel;Automatic;Used;10900;170;2015;Infiniti Q70
118000;Volkswagen;Golf;Diesel;Manual;Used;10950;150;2015;Volkswagen Golf
87000;Volkswagen;Golf;Gasoline;Manual;Used;10950;110;2015;Volkswagen Golf
137000;BMW;316;Diesel;Manual;Used;10950;116;2015;BMW 316
29000;Suzuki;Swift;Gasoline;Manual;Used;8990;94;2016;Suzuki Swift
198000;Volkswagen;Passat Variant;Diesel;Manual;Used;8999;120;2016;Volkswagen Passat Variant
192000;SsangYong;Korando;Diesel;Manual;Used;8999;178;2016;SsangYong Korando
15000;Dacia;Sandero;Gasoline;Manual;Used;9000;90;2016;Dacia Sandero
57800;Mazda;2;Gasoline;Manual;Used;9250;90;2016;Mazda 2
86900;Ford;B-Max;Gasoline;Manual;Used;9380;101;2016;Ford B-Max
56617;Volkswagen;up!;Gasoline;Manual;Used;9440;90;2016;Volkswagen up!
70604;Toyota;Yaris;Gasoline;Manual;Used;9490;69;2016;Toyota Yaris
68656;Toyota;Yaris;Gasoline;Manual;Used;9490;69;2016;Toyota Yaris
64783;Toyota;Yaris;Gasoline;Manual;Used;9490;69;2016;Toyota Yaris
146148;Opel;Astra;Diesel;Manual;Used;9495;136;2016;Opel Astra
106300;Opel;Astra;Diesel;Manual;Used;9499;160;2016;Opel Astra
179200;Volkswagen;Passat Variant;Diesel;Manual;Used;9499;120;2016;Volkswagen Passat Variant
63000;Opel;Adam;Gasoline;Manual;Used;9500;87;2016;Opel Adam
154494;Peugeot;308;Diesel;Manual;Used;9500;120;2016;Peugeot 308
72500;Suzuki;Swift;Gasoline;Manual;Used;9650;136;2016;Suzuki Swift
93300;Opel;Astra;Diesel;Manual;Used;9680;110;2016;Opel Astra
96999;Opel;Astra;Diesel;Manual;Used;9690;136;2016;Opel Astra
39990;Kia;Ceed / cee'd;Gasoline;Manual;Used;9690;101;2016;Kia Ceed / cee'd
66106;Audi;A4;Gasoline;Automatic;Used;20990;150;2017;Audi A4
68000;Kia;Sorento;Diesel;Automatic;Used;27928;200;2017;Kia Sorento
67000;Mercedes-Benz;GLC 220;Diesel;Automatic;Used;34900;170;2017;Mercedes-Benz GLC 220
55000;Audi;A6;Gasoline;Automatic;Used;34905;252;2017;Audi A6
32100;Mercedes-Benz;E 400;Gasoline;Automatic;Used;37931;333;2017;Mercedes-Benz E 400
74000;smart;forTwo;Gasoline;Manual;Used;5555;71;2017;smart forTwo
31500;SEAT;Mii;Gasoline;Manual;Used;5780;60;2017;SEAT Mii
62490;SEAT;Mii;Gasoline;Manual;Used;6390;60;2017;SEAT Mii
100870;Volkswagen;up!;Gasoline;Manual;Used;6445;60;2017;Volkswagen up!
35450;Skoda;Citigo;Gasoline;Manual;Used;6445;60;2017;Skoda Citigo
65635;Volkswagen;up!;Gasoline;Manual;Used;6490;60;2017;Volkswagen up!
83000;Toyota;Aygo;Gasoline;Manual;Used;6500;69;2017;Toyota Aygo
35000;Dacia;Sandero;Gasoline;Manual;Used;6700;90;2017;Dacia Sandero
35093;Volkswagen;up!;Gasoline;Manual;Used;6750;60;2017;Volkswagen up!
66000;Fiat;Punto;Gasoline;Manual;Used;6799;69;2017;Fiat Punto
61000;Hyundai;i10;Gasoline;Manual;Used;6900;67;2017;Hyundai i10
118759;Ford;Fiesta;Diesel;Manual;Used;6990;95;2017;Ford Fiesta
31500;smart;forFour;Gasoline;Manual;Used;6999;71;2017;smart forFour
77403;Ford;Fiesta;Diesel;Manual;Used;7090;75;2017;Ford Fiesta
66990;Audi;A6 allroad;Diesel;Automatic;Used;31880;272;2018;Audi A6 allroad
73500;Audi;A4 allroad;Diesel;Automatic;Used;31980;163;2018;Audi A4 allroad
59990;Audi;A4;Diesel;Automatic;Used;32940;218;2018;Audi A4
79300;Mercedes-Benz;GLC 250;Diesel;Automatic;Used;34775;204;2018;Mercedes-Benz GLC 250
46300;Audi;Q2;Diesel;Automatic;Used;34890;190;2018;Audi Q2
54496;Audi;A6;Diesel;Automatic;Used;35480;231;2018;Audi A6
51878;Volkswagen;Tiguan;Diesel;Automatic;Used;35490;239;2018;Volkswagen Tiguan
13400;Cupra;Ateca;Gasoline;Automatic;Demonstration;35990;300;2018;Cupra Ateca
85200;Volkswagen;Amarok;Diesel;Automatic;Used;37700;224;2018;Volkswagen Amarok
49900;Audi;A6 allroad;Diesel;Automatic;Used;37950;320;2018;Audi A6 allroad
39580;Audi;Q5;Diesel;Automatic;Used;39444;190;2018;Audi Q5
49394;Audi;Q5;Diesel;Automatic;Used;42480;190;2018;Audi Q5
81750;Audi;SQ5;Gasoline;Automatic;Used;42675;354;2018;Audi SQ5
68900;Audi;Q5;Diesel;Automatic;Used;43900;286;2018;Audi Q5
72500;Audi;SQ5;Gasoline;Automatic;Used;44450;354;2018;Audi SQ5
109590;Audi;Q7;Diesel;Automatic;Used;44850;272;2018;Audi Q7
28650;BMW;M2;Gasoline;Automatic;Used;44980;370;2018;BMW M2
93390;Audi;A6;Diesel;Automatic;Used;44984;286;2018;Audi A6
60188;Volvo;XC90;Diesel;Automatic;Used;45990;235;2018;Volvo XC90
52070;BMW;X3;Diesel;Automatic;Used;46890;265;2018;BMW X3
13710;Ford;Focus;Gasoline;Automatic;Used;26480;150;2019;Ford Focus
27949;Audi;A4;Diesel;Automatic;Used;26880;150;2019;Audi A4
22500;Ford;Focus;Gasoline;Automatic;Demonstration;26880;150;2019;Ford Focus
57501;BMW;X2;Diesel;Automatic;Used;26970;190;2019;BMW X2
34450;Volkswagen;Tiguan;Diesel;Automatic;Used;26980;150;2019;Volkswagen Tiguan
35950;Volkswagen;T-Roc;Diesel;Automatic;Used;27440;150;2019;Volkswagen T-Roc
12178;Audi;A4;Gasoline;Manual;Used;27440;150;2019;Audi A4
41365;Volkswagen;Passat Variant;Diesel;Automatic;Used;27490;190;2019;Volkswagen Passat Variant
31900;Mercedes-Benz;Vito;Diesel;Automatic;Used;27600;163;2019;Mercedes-Benz Vito
45700;Audi;A4;Diesel;Automatic;Used;27980;150;2019;Audi A4
9243;SEAT;Ateca;Gasoline;Automatic;Used;28250;150;2019;SEAT Ateca
8650;Ford;Kuga;Diesel;Automatic;Employee's car;28980;179;2019;Ford Kuga
17615;Skoda;Karoq;Gasoline;Automatic;Demonstration;28990;150;2019;Skoda Karoq
4016;Mercedes-Benz;GLA 250;Gasoline;Automatic;Used;29111;211;2019;Mercedes-Benz GLA 250
9290;Ford;Kuga;Diesel;Automatic;Employee's car;29980;179;2019;Ford Kuga
8650;Ford;Kuga;Diesel;Automatic;Employee's car;29980;179;2019;Ford Kuga
22900;SEAT;Alhambra;Gasoline;Automatic;Used;29990;150;2019;SEAT Alhambra
2955;Audi;A4;Diesel;Automatic;Used;29994;150;2019;Audi A4
1060;Ford;Transit;Diesel;Manual;Used;30452;131;2019;Ford Transit
27500;BMW;320;Diesel;Automatic;Used;30675;190;2019;BMW 320
23490;Audi;A6;Electric/Gasoline;Automatic;Used;59440;367;2020;Audi A6
19000;Audi;Q5;Electric/Gasoline;Automatic;Demonstration;59850;367;2020;Audi Q5
31420;Audi;RS Q3;Gasoline;Automatic;Used;59985;400;2020;Audi RS Q3
23402;Audi;TT RS;Gasoline;Automatic;Used;64885;400;2020;Audi TT RS
3850;Jaguar;F-Type;Gasoline;Automatic;Used;64900;381;2020;Jaguar F-Type
11650;Audi;TT RS;Gasoline;Automatic;Used;65890;400;2020;Audi TT RS
11100;Porsche;Macan;Gasoline;Automatic;Used;65900;245;2020;Porsche Macan
25300;Volkswagen;Touareg;Diesel;Automatic;Used;66740;286;2020;Volkswagen Touareg
23490;Audi;SQ5;Diesel;Automatic;Used;66790;347;2020;Audi SQ5
999;Audi;A7;Electric/Gasoline;Automatic;Used;66890;367;2020;Audi A7
22500;Audi;SQ5;Diesel;Automatic;Demonstration;67840;347;2020;Audi SQ5
8200;Audi;A7;Diesel;Automatic;Used;69890;286;2020;Audi A7
11700;Audi;RS Q3;Gasoline;Automatic;Used;69890;400;2020;Audi RS Q3
18150;Audi;S5;Diesel;Automatic;Demonstration;69980;347;2020;Audi S5
19950;Volkswagen;T6 California;Diesel;Automatic;Used;70980;150;2020;Volkswagen T6 California
16800;Audi;Q7;Diesel;Automatic;Used;81890;286;2020;Audi Q7
41100;Audi;Q8;Diesel;Automatic;Used;81890;286;2020;Audi Q8
29150;Audi;Q8;Gasoline;Automatic;Used;81890;340;2020;Audi Q8
28400;Audi;Q8;Diesel;Automatic;Used;83890;286;2020;Audi Q8
100;Fiat;Panda;Gasoline;Manual;Pre-registered;10600;69;2021;Fiat Panda
15;Fiat;Panda;Electric/Gasoline;Manual;Pre-registered;10680;69;2021;Fiat Panda
20;Toyota;Aygo;Gasoline;Manual;Pre-registered;10823;72;2021;Toyota Aygo
15;Fiat;Panda;Electric/Gasoline;Manual;Pre-registered;10980;69;2021;Fiat Panda
15;Fiat;Panda;Electric/Gasoline;Manual;Pre-registered;10980;69;2021;Fiat Panda
10;Toyota;Aygo;Gasoline;Manual;Pre-registered;10997;72;2021;Toyota Aygo
9;Toyota;Aygo;Gasoline;Manual;Pre-registered;11490;72;2021;Toyota Aygo
9;Toyota;Aygo;Gasoline;Manual;Pre-registered;11490;72;2021;Toyota Aygo
9;Toyota;Aygo;Gasoline;Manual;Pre-registered;11490;72;2021;Toyota Aygo
100;Hyundai;i10;Gasoline;Manual;Pre-registered;11499;67;2021;Hyundai i10
10;Toyota;Aygo;Gasoline;Manual;Pre-registered;11790;72;2021;Toyota Aygo
10;Kia;Picanto;Gasoline;Manual;Pre-registered;11950;84;2021;Kia Picanto
10;Toyota;Aygo;Gasoline;Manual;Pre-registered;11990;72;2021;Toyota Aygo
10;Toyota;Aygo;Gasoline;Manual;Pre-registered;11990;72;2021;Toyota Aygo
10;Toyota;Aygo;Gasoline;Manual;Pre-registered;11990;72;2021;Toyota Aygo
10;Toyota;Aygo;Gasoline;Manual;Pre-registered;11990;72;2021;Toyota Aygo
10;Toyota;Aygo;Gasoline;Manual;Pre-registered;11990;72;2021;Toyota Aygo
10;Toyota;Aygo;Gasoline;Manual;Pre-registered;11990;72;2021;Toyota Aygo
10;Toyota;Aygo;Gasoline;Manual;Pre-registered;11990;72;2021;Toyota Aygo
10;Toyota;Aygo;Gasoline;Manual;Pre-registered;11990;72;2021;Toyota Aygo
132500;Volkswagen;Golf;Gasoline;Automatic;Used;7800;122;2011;Volkswagen Golf
132500;Volkswagen;Golf;Gasoline;Automatic;Used;7800;122;2011;Volkswagen Golf
69019;Peugeot;508;Gasoline;Manual;Used;7850;156;2011;Peugeot 508
123600;Ford;Focus;Gasoline;Manual;Used;7885;150;2011;Ford Focus
95963;Opel;Astra;Gasoline;Manual;Used;7900;120;2011;Opel Astra
71908;Nissan;Qashqai;Gasoline;Manual;Used;7900;117;2011;Nissan Qashqai
93510;Kia;Ceed / cee'd;Gasoline;Manual;Used;7900;90;2011;Kia Ceed / cee'd
131322;Volkswagen;Passat Variant;Gasoline;Manual;Used;7900;122;2011;Volkswagen Passat Variant
228000;Volkswagen;Passat Variant;Diesel;Manual;Used;7900;170;2011;Volkswagen Passat Variant
61999;Honda;Civic;Gasoline;Manual;Used;7949;99;2011;Honda Civic
87216;Volkswagen;Golf;Gasoline;Manual;Used;7970;122;2011;Volkswagen Golf
120600;Ford;Focus;Gasoline;Manual;Used;7970;150;2011;Ford Focus
119850;Volkswagen;Polo;Gasoline;Automatic;Used;7990;86;2011;Volkswagen Polo
154500;Volkswagen;Passat Variant;Gasoline;Manual;Used;7990;160;2011;Volkswagen Passat Variant
92800;Renault;Megane;Gasoline;Manual;Used;7990;131;2011;Renault Megane
118210;Volkswagen;Golf;Gasoline;Manual;Used;7990;160;2011;Volkswagen Golf
86000;Opel;Zafira;Gasoline;Manual;Used;7998;116;2011;Opel Zafira
24170;Toyota;Auris;Gasoline;Automatic;Used;7999;132;2011;Toyota Auris
188758;Volkswagen;Passat Variant;Diesel;Manual;Used;7999;140;2011;Volkswagen Passat Variant
107001;Volkswagen;Passat;Gasoline;Manual;Used;7999;122;2011;Volkswagen Passat
81179;Ford;C-Max;Gasoline;Manual;Used;7900;105;2012;Ford C-Max
98669;Toyota;Yaris;Electric/Gasoline;Automatic;Used;7900;75;2012;Toyota Yaris
86747;Skoda;Fabia;Gasoline;Manual;Used;7900;86;2012;Skoda Fabia
147500;Skoda;Superb;Diesel;Manual;Used;7900;140;2012;Skoda Superb
140000;Toyota;Avensis;Diesel;Manual;Used;7950;124;2012;Toyota Avensis
89400;Volkswagen;Golf Plus;Gasoline;Manual;Used;7980;122;2012;Volkswagen Golf Plus
100000;Skoda;Octavia;Gasoline;Manual;Used;7980;122;2012;Skoda Octavia
14300;Opel;Corsa;Gasoline;Automatic;Used;7990;101;2012;Opel Corsa
102000;Opel;Astra;Gasoline;Manual;Used;7990;179;2012;Opel Astra
93850;Renault;Grand Scenic;Diesel;Manual;Used;7990;110;2012;Renault Grand Scenic
98600;SEAT;Altea;Gasoline;Automatic;Used;7990;160;2012;SEAT Altea
123000;Ford;Mondeo;Gasoline;Manual;Used;7990;160;2012;Ford Mondeo
70600;Toyota;Yaris;Gasoline;Automatic;Used;7990;99;2012;Toyota Yaris
35300;Kia;Ceed / cee'd;Gasoline;Manual;Used;7990;99;2012;Kia Ceed / cee'd
128000;Volkswagen;Passat;Gasoline;Manual;Used;7990;122;2012;Volkswagen Passat
91000;Volkswagen;Jetta;Gasoline;Manual;Used;7990;105;2012;Volkswagen Jetta
100000;Hyundai;i40;Gasoline;Manual;Used;7999;135;2012;Hyundai i40
105531;Toyota;Auris;Gasoline;Automatic;Used;7999;99;2012;Toyota Auris
110405;Volkswagen;Passat Variant;Gasoline;Manual;Used;7999;122;2012;Volkswagen Passat Variant
261000;BMW;320;Diesel;Automatic;Used;8000;184;2012;BMW 320
82822;Toyota;Yaris;Electric/Gasoline;Automatic;Used;8500;75;2013;Toyota Yaris
35000;Skoda;Rapid/Spaceback;Gasoline;Manual;Used;8500;105;2013;Skoda Rapid/Spaceback
148000;Citroen;Grand C4 Picasso;Diesel;Automatic;Used;8500;150;2013;Citroen Grand C4 Picasso
44700;Opel;Adam;Gasoline;Manual;Used;8500;69;2013;Opel Adam
77820;Mazda;3;Gasoline;Manual;Used;8550;105;2013;Mazda 3
31000;Ford;Focus;Gasoline;Manual;Used;8679;125;2013;Ford Focus
46000;Volkswagen;Polo;Gasoline;Manual;Used;8699;69;2013;Volkswagen Polo
50000;Ford;B-Max;Gasoline;Manual;Used;8699;101;2013;Ford B-Max
75800;Peugeot;2008;Gasoline;Manual;Used;8700;82;2013;Peugeot 2008
122450;Suzuki;SX4;Diesel;Manual;Used;8700;135;2013;Suzuki SX4
54689;Opel;Astra;Gasoline;Manual;Used;8740;140;2013;Opel Astra
98000;Honda;Civic;Gasoline;Manual;Used;8790;99;2013;Honda Civic
55135;Honda;Jazz;Gasoline;Manual;Used;8800;99;2013;Honda Jazz
53998;Hyundai;i20;Gasoline;Manual;Used;8880;86;2013;Hyundai i20
76796;Peugeot;2008;Gasoline;Manual;Used;8885;120;2013;Peugeot 2008
84000;Skoda;Yeti;Diesel;Manual;Used;8888;110;2013;Skoda Yeti
48795;Skoda;Roomster;Gasoline;Automatic;Used;8899;105;2013;Skoda Roomster
85320;Opel;Astra;Gasoline;Manual;Used;8900;140;2013;Opel Astra
118070;Toyota;Yaris;Electric/Gasoline;Automatic;Used;8900;75;2013;Toyota Yaris
59100;Kia;Venga;Gasoline;Manual;Used;8900;90;2013;Kia Venga
85183;Opel;Astra;Gasoline;Manual;Used;8898;140;2014;Opel Astra
53795;Volkswagen;up!;Gasoline;Manual;Used;8900;60;2014;Volkswagen up!
74450;Citroen;DS3;Gasoline;Manual;Used;8900;156;2014;Citroen DS3
167000;Volkswagen;Golf;Diesel;Manual;Used;8950;110;2014;Volkswagen Golf
182150;Volkswagen;Golf;Gasoline;Manual;Used;8980;140;2014;Volkswagen Golf
68067;Peugeot;308;Gasoline;Manual;Used;8985;125;2014;Peugeot 308
49252;Ford;Focus;Gasoline;Manual;Used;8990;125;2014;Ford Focus
124800;Opel;Meriva;Gasoline;Automatic;Used;8990;140;2014;Opel Meriva
91784;Ford;B-Max;Gasoline;Manual;Used;8990;101;2014;Ford B-Max
82500;Renault;Captur;Diesel;Manual;Used;8990;90;2014;Renault Captur
98000;Hyundai;i40;Gasoline;Manual;Used;8990;135;2014;Hyundai i40
34100;Kia;Picanto;Gasoline;Automatic;Used;8990;86;2014;Kia Picanto
27241;Renault;Megane;Diesel;Manual;Used;8990;110;2014;Renault Megane
90173;Ford;Focus;Gasoline;Manual;Used;8990;101;2014;Ford Focus
54210;Renault;Clio;Gasoline;Automatic;Used;8990;120;2014;Renault Clio
123559;Peugeot;2008;Diesel;Automatic;Used;8995;92;2014;Peugeot 2008
81430;Citroen;C4;Gasoline;Automatic;Used;8999;82;2014;Citroen C4
73000;SEAT;Leon;Gasoline;Manual;Used;9000;110;2014;SEAT Leon
56700;Chevrolet;Trax;Gasoline;Manual;Used;9000;140;2014;Chevrolet Trax
68220;Skoda;Citigo;Gasoline;Manual;Used;8900;75;2015;Skoda Citigo
62665;Opel;Corsa;Gasoline;Automatic;Used;8950;90;2015;Opel Corsa
172000;Volkswagen;Passat Variant;Diesel;Manual;Used;8990;120;2015;Volkswagen Passat Variant
53000;Skoda;Rapid/Spaceback;Gasoline;Manual;Used;8990;86;2015;Skoda Rapid/Spaceback
175488;Ford;Mondeo;Diesel;Manual;Used;8990;120;2015;Ford Mondeo
102690;Dacia;Duster;Gasoline;Manual;Used;8990;125;2015;Dacia Duster
49249;Renault;Megane;Gasoline;Manual;Used;8990;132;2015;Renault Megane
30100;Kia;Rio;Gasoline;Manual;Used;8990;86;2015;Kia Rio
69120;Kia;Rio;Diesel;Manual;Used;8990;90;2015;Kia Rio
285000;Skoda;Octavia;Diesel;Automatic;Used;9000;184;2015;Skoda Octavia
98540;Fiat;Scudo;Diesel;Manual;Used;9200;128;2015;Fiat Scudo
87200;Renault;Scenic;Gasoline;Manual;Used;9250;132;2015;Renault Scenic
20000;smart;forFour;Gasoline;Automatic;Demonstration;9299;71;2015;smart forFour
57596;Nissan;Pulsar;Gasoline;Manual;Used;9440;116;2015;Nissan Pulsar
51833;Ford;Focus;Diesel;Manual;Used;9440;95;2015;Ford Focus
43693;Peugeot;208;Gasoline;Manual;Used;9450;110;2015;Peugeot 208
109750;Dacia;Duster;Gasoline;Manual;Used;9450;105;2015;Dacia Duster
88900;Volkswagen;Caddy;Gasoline;Manual;Used;9450;86;2015;Volkswagen Caddy
33000;Renault;ZOE;Electric;Automatic;Used;8495;58;2016;Renault ZOE
36300;Renault;Clio;Gasoline;Manual;Used;8499;90;2016;Renault Clio
36300;Renault;Clio;Gasoline;Manual;Used;8499;90;2016;Renault Clio
36210;Renault;Clio;Gasoline;Manual;Used;8499;73;2016;Renault Clio
101850;Opel;Meriva;Diesel;Manual;Used;8690;95;2016;Opel Meriva
13832;Citroen;C3;Gasoline;Manual;Used;8690;82;2016;Citroen C3
49950;SEAT;Ibiza;Gasoline;Manual;Used;8690;90;2016;SEAT Ibiza
98700;Opel;Astra;Diesel;Manual;Used;8770;110;2016;Opel Astra
190543;Mercedes-Benz;Citan;Diesel;Manual;Used;8799;90;2016;Mercedes-Benz Citan
80000;SEAT;Leon;Diesel;Manual;Used;8800;110;2016;SEAT Leon
109859;Ford;Fiesta;Gasoline;Manual;Used;8840;125;2016;Ford Fiesta
82000;Skoda;Fabia;Gasoline;Manual;Used;8850;110;2016;Skoda Fabia
68300;Renault;Megane;Diesel;Manual;Used;8850;110;2016;Renault Megane
57644;Skoda;Fabia;Gasoline;Manual;Used;8850;90;2016;Skoda Fabia
